comentario	usuario	ciudad	puntaje	fecha_viaje	link
Impresionante, no pongo la maxima puntuacion por no conocer casi todas las aerolineas, pero fue muy buena la atencion recibida en las 26 hs de vuelo...	Leonel G	La Plata, Argentina	4	noviembre de 2015	https://www.tripadvisor.es/ShowUserReviews-g1-d8729069-r348711115-Emirates-World.html#REVIEWS
Mi mejor experiencia en líneas aéreas. Desde que llegas al aeropuerto te das cuenta lo que es Emirates, en mi opinión son una empresa que busca la perfección en todo, sobre todo en tratar muy bien al pasajero, realmente espectacular. La atención y el servicio son únicos. En el counter te atienden con ganas que te sientas bien y en el avión ni que decir, todo es muy bueno. A diferencia de la mayoría de líneas aéreas, en Emirates buscan que la pases bien. Tuve la suerte de viajar en Económica, que parece business de otras líneas y también en Business ideal para vuelos muy largos. Tienes el menú para elegir, entretenimiento a bordo hay todo lo que puedas esperar y más, puedes pedir al personal de a bordo lo que necesites en cualquier momento y te atienden súper bien, con muchas ganas que disfrutes de su compañía. Es increíble pero luego de un vuelo de 15 horas y 15 min quieres que no termine. Los felicito son increibles !!!	JimAbugattasSimons	Arequipa, Perú	5	diciembre de 2015	https://www.tripadvisor.es/ShowUserReviews-g1-d8729069-r348692202-Emirates-World.html#REVIEWS
Asientos comodísimos, una gran selección de películas, series, juegos...manta y almohada para ir cómodos, excelente comida incluida en el billete, un buen sistema de aduana en Dubai, bien explicado y señalizado. Nos perdieron una maleta, pero la encontraron rápidamente y fueron amabilísimos mientras la traían.	carmenr813	Madrid, España	5	septiembre de 2015	https://www.tripadvisor.es/ShowUserReviews-g1-d8729069-r348670065-Emirates-World.html#REVIEWS
Unas de las mejores aerolíneas que he viajado, servicio excelente, comodidad en turista muy buena, lo mejor que yo soy celiaca, todas las comidas que me han servido casi como en un buen restaurante. Cosa que en ninguna es buena siempre parece de hospital	viajaconSandra	Pozuelo de Alarcón, España	5	mayo de 2015	https://www.tripadvisor.es/ShowUserReviews-g1-d8729069-r348528281-Emirates-World.html#REVIEWS
Nunca había volado con esta compañía y tenía buena imagen. La verdad es que es merecida, nos atendieron fenomenalmente en todo momento, el avión moderno y bien equipado, con equipo multimedia en cada asiento y posibilidad de escuchar música, ver películas o jugar. La comida muy bien teniendo en cuenta que es comida de avión.	corunamarcopolo	Perillo, España	5	junio de 2015	https://www.tripadvisor.es/ShowUserReviews-g1-d8729069-r348462379-Emirates-World.html#REVIEWS
Todo en esta compañía es simplemente perfecto. Salimos puntuales, el trato del personal de tierrra y de vuelo es excelente, siempre con una sonrisa y con ganas de ayudarte en lo que puedan. Desde la pagina web puedes elegir el tipo de menú , entre los 15 tipos diferentes que ofrecen. Los asientos son perfectos. Yo mido 1,88 m y aun me sobraba espacio para las piernas, incluso tumbandome!!!.Cada asiento dispone de su propia pantalla para ver peliculas, juegos o ver las imágenes que ofrecen las distintas cámaras que tiene el avión en diferentes puntos. Hicimos escala en Dubai, y eso si que es un aeropuerto en condiciones. Si viajais con niños pequeños , teneis a vuestra disposición sillas de paseo (gratuitas) por todo el terminal. La escala fue de 2 horas y continuamos el viaje hacia Bangkok. Todo genial!!! en el precio del vuelo , venia incluido el billete desde Phuket a Bangkok en Bangkok Airlines y nos alojaron en Bussiness. No puedo decir más que esta aerolinea de momento , la mejor en la que he volado.	Fernandorun	Alcalá de Henares, España	5	mayo de 2015	https://www.tripadvisor.es/ShowUserReviews-g1-d8729069-r348368122-Emirates-World.html#REVIEWS
comentario	usuario	ciudad	puntaje	fecha_viaje	link
esperaba mas, junto con Avianca de las mejores en cuanto a comodidad de asiento. muy buena comida, mucha variedad de peliculas, aunque muchas no occidentales	Trail182382	Burgos, España	4	diciembre de 2018	https://www.tripadvisor.es/ShowUserReviews-g1-d8729069-r644800077-Emirates-World.html#REVIEWS
Un viaje estupendo a pesar de la duración. El trato del personal fue estupendo tanto en tierra como durante el vuelo.	cerosia	Burgos, España	5	diciembre de 2018	https://www.tripadvisor.es/ShowUserReviews-g1-d8729069-r644681797-Emirates-World.html#REVIEWS
El mejor vuelo que he tenido. La verdad es una compania conla recomiendo volar. Una vez que vuelas con esta compania ya no puedes volar con companias como Iberia, que a su lado parece menos que una Low Cost El trato admirable, la amabilidad, los detalles cuidados, te hacen sentir en primera clase. Muy recomendable.	GhassanE40	Madrid, España	5	diciembre de 2018	https://www.tripadvisor.es/ShowUserReviews-g1-d8729069-r644636334-Emirates-World.html#REVIEWS
Solo el subir al avión ya te está dando seguridad, el vuelo de muchas horas tanto el idea desde Madrid a Hong Kong, como el de vuelta desde Shanghai a Madrid, magnifico y el personal muy atento y dispuesto a colaborar. Tengo que felicitar al capitán por los magnificos aterrizajes, que fueron cuatro, por la escala de Dubai, que realizo el mismo, prácticamente no se nota nada, por lo tanto felicidades a esta aerolínea que seguiré utilizando en mis viajes a Asia.	Francisco M	Provincia de Jaén, España	5	octubre de 2018	https://www.tripadvisor.es/ShowUserReviews-g1-d8729069-r644517054-Emirates-World.html#REVIEWS
Amplitud en todo el avión, espacio entre asientos mayor que en otras aerolíneas (tengo piernas largas y se de lo que hablo), baños que puedes moverte, comida muy buena y con una presentación que ya no utilizan las demás aerolíneas, calidad en las comidas, abundante para un vuelo, atención para el Vuelo ( estuche con cepillo, medias etc). Es un placer viajar tantas horas en una aerolínea así.	miriam e	Santa Rosa, La Pampa,	5	noviembre de 2018	https://www.tripadvisor.es/ShowUserReviews-g1-d8729069-r644514710-Emirates-World.html#REVIEWS
Elegimos esta compañía en nuestro vuelo a Japón porque para un viaje tan largo queríamos un vuelo que nos inspirara confianza y viajar tranquilos. El billete puede salir por un poco más q en el resto pero la comodidad de viajar en un Airbus 380 merece la pena. Continuamente están ofreciéndole bebidas y tienes tu menú para elegir entre varias opciones. Amabilidad del personal, todo esto hizo q comparamos con absoluta tranquilidad. Lo recomiendo.	SUCARO	Madrid	5	octubre de 2018	https://www.tripadvisor.es/ShowUserReviews-g1-d8729069-r644380065-Emirates-World.html#REVIEWS
Avión grande, cómodo, bien mantenido, limpio, mucho entretenimiento, servicio amable y competente. La comida muy buena, para ser de avión, muchas atenciones. Muy puntuales.	yolanda p	valencia	5	diciembre de 2018	https://www.tripadvisor.es/ShowUserReviews-g1-d8729069-r644370583-Emirates-World.html#REVIEWS
Salimos de la terminal 3 de Dubai que es exclusiva de EMIRATES, es muy pero muy grande el aeropuerto! El vuelo como el de ida fue todo excelente la comodidad del avion y la comida a bordo fue de primera categoria.	Chivilco	Chivilcoy, Argentina	4	diciembre de 2018	https://www.tripadvisor.es/ShowUserReviews-g1-d8729069-r644258178-Emirates-World.html#REVIEWS
Es un vuelo muy pero muy largo, y realmente todo fue excelente! salimos de EZE a las 2130 e hicimos una escala en RIO de Janeiro, 2 horas y seguimos vuelo. El avion realmente muy buen y bastante mas como que otra aerolineas, y la comida tambien muy buena.	Chivilco	Chivilcoy, Argentina	5	diciembre de 2018	https://www.tripadvisor.es/ShowUserReviews-g1-d8729069-r644257433-Emirates-World.html#REVIEWS
Aviones muy modernos, buen servicio y entretenimiento muy completo, el personal de vuelo sin embargo como en cualquier otra compañia de primer nivel	junoviano	Madrid, España	4	diciembre de 2018	https://www.tripadvisor.es/ShowUserReviews-g1-d8729069-r644079187-Emirates-World.html#REVIEWS
